course_code,type,course_name,description,prerequisites,credits
CISC 1001,Elective,Computing & Quantitative Reasoning,"Computers, programming, and their basis in quantitative reasoning. Information representation, base systems and numeric conversions between bases. The nature of algorithms; use of graphs to compare performance of algorithms. Designing and writing programs to solve mathematical problems. Feasibility and computability based on mathematical analysis. Drawing inferences from results. Computer and network security and privacy, including encryption techniques and lockout algorithms based on algebraic methods and mathematical logic.",['None'],3
CISC 1002,Elective,The Outer Limits of Reason,"Paradoxes and limitations arising in computer science, the physical sciences, and mathematics. Reasoning conundrums and paradoxes with an emphasis on examples from mathematics. Limitations of reason, logic, mathematics and computing. Reasoning about infinity. The inability to prove everything that is true. Problems that cannot be solved computationally in a reasonable amount of time. Unsolvable problems. The boundary between what can and cannot be known. Starting Spring 2018 Satisfies Pathways Required Core Mathematics and Quantitative Reasoning requirement. This course is the same as Philosophy 2200.",['None'],3
CISC 1003,Elective,Exploring Robotics,"Introduction to programming through the use of project-based educational robotics activities. Small group work on a series of multi-week creative projects involving use of robots to address meaningful and socially important issues, such as urban search and rescue or elder care. Introduction to the fundamentals of robotics (including aspects of mechanical design) and elementary programming within a graphical environment. (Not open to students who have completed Core Curriculum 3303.) This course satisfies Pathways Flexible Core Scientific World requirement.",['None'],3
CISC 1050,Elective,Intro to Computer Applications,"Introduction to the use of the computer in the home and office. Computer literacy. Word processing, database systems, and spreadsheets. Examination and evaluation of computer peripherals and software for personal computers. (Not open to students who are enrolled in or have completed Computer and Information Science 3800)",['None'],3
CISC 1170,Elective,Java for Programmers,"Intensive introduction to Java for students who have completed a programming course in another language. The facilities of the Java programming language core and the key Java class libraries. Imperative and procedural programming in Java. Elementary object-oriented programming. File processing, exception handling, and an introduction to graphical user interface programming. (Not open to students who are enrolled in or have completed Computer and Information Science 1115, or 3115, or both of 1113 and 1114.)",['An introductory programming course in a language other than Java and permission of the chairperson'],2
CISC 1215,Elective,Intro to Programming in Python,"The Python programming language. Algorithms, computers and programs. Writing, debugging, and testing programs. Loops and conditional control structures. Function definition and parameter passing. Strings, Lists, and Tuples. Sorting, searching and other basic algorithms. Input and output. Programming applications selected from various areas. Python tools. History and basic concepts of computer science.",['None'],3
CISC 1400,Elective,Elementary Robotics,"Broad introduction to robotics and elementary robot programming. Fundamentals of building, programming and troubleshooting simple, pre-fabricated robots. Elements of computer programming using a graphical interface. Applications of robots in a wide range of contexts.",['Mathematics 1311 or permission of the chairperson'],3
CISC 1410,Elective,Philosophy & Artificial Intelligence,"Contemporary issues in philosophy and psychology, such as the mind-machine analogy, the artificial intelligence model of the human mind, intentionality, representation, consciousness, concept formation, free will, behaviorism, mechanism. Discussion and evaluation of contemporary work in the field. This course is the same as Philosophy 3423 and Psychology 3580.","['a course in CISC, and a course in philosophy; or permission of the chairperson of the offering department']",3
CISC 1530,Elective,Electronic Commerce,"How the Internet can be used to conduct business. Topics covered include: Internet hardware and software, tools and technologies for creating a Web site, characteristics of successful Web sites, new technologies, the future of the Internet, Web communication strategies, security issues, legal and ethical issues, Internet information services, data mining, global E-commerce. Case studies of successful E-commerce businesses will be examined. This course is the same as Business 3120.",['CISC 1050 or CISC 1115'],3
CISC 1580W,Elective,Computer Management Games,"Simulation of a business environment providing practice in various management functions such as objective setting, planning, supervising, organizing, controlling, problem solving, and leadership. Emphasis on presentation and communication skills and presenting results and their justification. Includes games involving competition in the marketplace and use of knowledge-based management software for the business executive. The desired course objectives are enhanced negotiating skills, improved personnel observations, and optimized managerial behaviors. Writing-intensive course. (Not open to students who have completed Business 4202W or Economics [80.3].) This course is the same as Business Management 4202W.","['One of the following combinations: Business 3400, Psychology 3400, Mathematics 2501, or Mathematics 3501; Business 3430 or CISC 2531; Business 3200; CISC 1050, 1115, 1170. Additional requirement: Senior standing.']",3
